_id,Fecha,Hora,Latitud,Longitud,Profundidad,Intensidad
ObjectId("5debf1b5373b6cc5167c664f"),2019-12-07,03:59:37,16.31,-98.27,10.0 km,3.4
ObjectId("5debf1b5373b6cc5167c6651"),2019-12-07,03:50:21,15.74,-93.96,76.0 km,3.7
ObjectId("5debf1b5373b6cc5167c6653"),2019-12-07,03:35:40,16.66,-95.09,98.0 km,4
ObjectId("5debf1b5373b6cc5167c6655"),2019-12-07,03:18:49,19.47,-104.39,32.0 km,3.3
ObjectId("5debf1b5373b6cc5167c6657"),2019-12-07,03:06:53,16.34,-98.96,16.0 km,3.3
ObjectId("5debf1b5373b6cc5167c6659"),2019-12-07,02:13:48,15.09,-94.2,16.0 km,3.7
ObjectId("5debf1b5373b6cc5167c665b"),2019-12-07,02:09:40,16.11,-97.85,18.0 km,3.2
ObjectId("5debf1b5373b6cc5167c665d"),2019-12-07,01:51:19,14.53,-92.2,80.0 km,3.8
ObjectId("5debf1b5373b6cc5167c665f"),2019-12-07,00:56:47,15.96,-97.27,29.0 km,3.4
ObjectId("5debf1b5373b6cc5167c6661"),2019-12-07,00:36:40,15.36,-94.76,16.0 km,4.1
ObjectId("5debf1b5373b6cc5167c6663"),2019-12-07,00:28:52,16.61,-98.12,25.0 km,3.3
ObjectId("5dec37cc373b6cc5167c671d"),2019-12-07,12:41:34,15.52,-96.55,5.0 km,4.1
ObjectId("5ded5358373b6cc5167c6941"),2019-12-08,10:34:07,21.42,-106.22,7.0 km,4.2
ObjectId("5ded5358373b6cc5167c6943"),2019-12-08,07:42:41,13.88,-93.41,16.0 km,4.1
ObjectId("5ded5358373b6cc5167c6945"),2019-12-08,04:58:31,16.62,-93.83,146.0 km,3.5
